,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,minutestamp,PC0,PC1
43,0.695,0.74,-6.97,0.0371,0.0155,0.0,0.143,0.455,122.051,165.94556666666668,-0.9006835842102593,-0.6590875896736691
44,0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983,168.88986666666668,-1.248314060064827,-0.3669763300590544
45,0.601,0.794,-5.844,0.0671,0.00987,1.36e-06,0.418,0.244,114.066,172.50818333333333,-0.9544678113654851,0.5446139490174109
46,0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,176.59218333333334,-0.8640063627180979,-0.47325969782852023
47,0.674,0.857,-5.328,0.0346,0.0557,0.196,0.0942,0.278,117.028,181.35641666666666,-0.6971235520205702,-0.9548278165851408
48,0.422,0.943,-4.365,0.0954,0.074,6.83e-05,0.105,0.845,165.764,184.39196666666666,-1.6192696202830998,-1.205547539689042
49,0.362,0.569,-15.394,0.0345,0.876,0.91,0.327,0.746,148.692,187.28241666666668,2.2486461809361953,0.4660972396845356
50,0.46,0.387,-13.384,0.0311,0.934,0.279,0.48,0.513,72.376,189.26575,2.088680360368641,2.680402555041323
51,0.507,0.415,-12.832,0.0366,0.35,0.859,0.0806,0.375,83.635,191.85846666666666,2.2918493084145473,0.11116226712550932
52,0.272,0.346,-14.01,0.0317,0.926,0.931,0.0772,0.24,79.773,194.10425,4.009360541022359,0.7344993301127039
53,0.215,0.559,-15.129,0.0586,0.027,0.825,0.0861,0.0588,141.82,199.88331666666667,2.6108972001826873,-1.3467570007244618
54,0.829,0.822,-5.909,0.238,0.0691,0.000363,0.551,0.552,122.057,205.03126666666665,-2.3825747442809897,2.352033094471108
55,0.582,0.921,-3.452,0.254,0.000917,0.000231,0.358,0.426,120.152,207.63126666666668,-1.9949679682184653,1.5028916153166028
56,0.858,0.417,-6.956,0.0499,0.0152,0.00527,0.119,0.486,127.994,210.06876666666668,-0.7569644752399798,-0.5190220434030043
57,0.854,0.806,-8.262,0.0886,0.0209,0.0542,0.0703,0.637,124.927,212.70026666666666,-1.469051605148787,-0.5192179271765135
58,0.748,0.909,-8.322,0.0505,0.0576,0.89,0.0945,0.0617,130.0,220.85826666666668,0.20340964258483726,-1.3417118273442163
59,0.666,0.975,-3.47,0.0345,0.0135,0.000925,0.105,0.452,128.005,224.04806666666667,-1.6026302332226208,-1.1424769710818428
60,0.681,0.893,-8.485,0.0378,6.47e-05,0.383,0.0626,0.951,130.475,228.12673333333333,-1.2091164157900758,-1.149166715872243
61,0.729,0.989,-4.613,0.049,0.0102,4.43e-05,0.443,0.841,126.468,234.0085,-2.5190402259753593,0.3795709723235536
62,0.766,0.873,-6.381,0.143,0.00627,0.0,0.0764,0.743,126.988,237.38561666666666,-1.918133460613116,-0.20095039672684328
63,0.748,0.761,-6.621,0.102,0.122,6.56e-06,0.0984,0.362,116.041,240.38461666666666,-0.9246093901498056,-0.1508794820495454
64,0.715,0.745,-9.084,0.0423,0.12,0.00115,0.206,0.566,124.01,244.02346666666668,-0.8398246923366511,-0.2223944885748944
65,0.775,0.866,-3.598,0.0295,0.135,0.0376,0.152,0.875,131.338,248.94125,-2.0498154720828023,-0.7000386106684282
66,0.723,0.87,-3.013,0.0435,0.035,0.0,0.656,0.678,129.952,252.422,-2.449076555275241,1.059998315537895
67,0.787,0.615,-10.815,0.0975,0.0895,0.0101,0.0799,0.43,130.008,254.48706666666666,-0.4630479377356695,-0.34033064826600823
68,0.529,0.843,-6.908,0.0616,0.0628,0.000827,0.0608,0.188,117.662,259.65928333333335,-0.27048397046559325,-0.8425047015447337
69,0.811,0.739,-7.196,0.0451,0.00606,8.07e-06,0.397,0.854,133.636,263.56261666666666,-1.9854828148953576,0.2749326125313302
70,0.632,0.966,-1.562,0.0812,0.0121,0.000935,0.253,0.435,124.999,266.85861666666665,-1.9265781851010881,-0.2603727050327639
71,0.634,0.97,-9.555,0.0568,0.0156,0.905,0.351,0.215,138.009,273.62016666666665,-0.05806807531217567,-0.5528468120160656
72,0.528,0.965,-7.984,0.0465,0.141,0.985,0.0797,0.587,136.065,277.3783833333333,0.10087988725521455,-1.3941008716103376
73,0.167,0.653,-8.967,0.0496,0.331,0.96,0.117,0.193,78.48,281.5355,2.5044509527466152,-0.0006543794747269625
74,0.137,0.313,-17.088,0.0386,0.487,0.918,0.111,0.131,97.365,283.54195,4.188821098259523,0.088422840160768
75,0.113,0.219,-18.626,0.0529,0.641,0.904,0.105,0.0319,93.873,286.27883333333335,4.851627571240081,0.4649297623928087
76,0.478,0.906,-6.781,0.0419,0.0962,0.919,0.115,0.59,140.021,288.56036666666665,0.03344095643598442,-1.402267288330957
77,0.43,0.829,-9.142,0.043,1.62e-05,0.879,0.358,0.0406,101.974,291.85748333333333,0.9875635535280479,-0.03079932648277546
78,0.443,0.827,-11.781,0.0469,0.00364,0.836,0.261,0.285,140.014,294.41948333333335,0.8079533363979953,-0.8788275271105442
79,0.25,0.553,-8.188,0.0429,0.606,0.673,0.145,0.226,118.985,296.47548333333333,2.2049762791107668,-0.17384284752824652
80,0.307,0.701,-10.546,0.0658,0.0307,0.817,0.0953,0.0862,140.131,299.01245,1.6116958186455586,-1.3636837431260556
81,0.399,0.692,-10.19,0.0735,0.0509,0.951,0.113,0.0752,170.993,301.82693333333333,1.368891205483669,-1.8033150869174208
82,0.25,0.788,-7.263,0.0574,0.0444,0.919,0.0904,0.0344,129.733,304.4254666666667,1.495847178528138,-1.426960965742711
