,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,minutestamp,PC0,PC1
1,0.44,0.464,-6.722,0.0268,0.655,0.0,0.109,0.24,83.922,7.307766666666667,0.11448926662162771,-0.7756965677150176
2,0.422,0.499,-5.535,0.0659,0.673,0.0,0.0994,0.39,93.037,10.5407,0.4075981442689064,2.3350490683200094
3,0.435,0.295,-9.773,0.0264,0.774,0.0247,0.0769,0.15,141.293,16.25048333333333,1.5177083880006692,0.3987623801274903
4,0.385,0.393,-7.874,0.0258,0.561,0.00138,0.101,0.178,147.665,22.042033333333332,1.179329234927643,0.10312521946968209
5,0.583,0.598,-6.711,0.0262,0.0558,1.52e-05,0.0988,0.796,85.625,25.484916666666667,-0.3331678972070263,0.48871295642150875
6,0.421,0.407,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,30.236916666666666,0.6550368588275518,-0.40382576450334506
7,0.464,0.473,-10.086,0.129,0.866,0.0,0.109,0.604,75.801,33.71503333333333,0.39344124880396664,1.1867945090434853
8,0.656,0.153,-10.386,0.15,0.222,0.0,0.0853,0.691,132.421,37.018816666666666,-0.057400438215025176,1.045360287611815
9,0.707,0.833,-2.498,0.0517,0.137,0.0,0.115,0.788,110.062,40.31516666666667,3.4597562661702916,-0.6406471811391826
10,0.436,0.4,-6.521,0.11,0.463,0.0,0.76,0.568,75.576,43.466,4.026067102885446,1.2320452738956997
11,0.113,0.219,-18.626,0.0529,0.641,0.904,0.105,0.0319,93.873,46.20288333333333,0.42662576582399514,-1.4147251935231835
12,0.83,0.159,-14.461,0.0383,0.946,2.02e-05,0.362,0.189,104.95,49.65955,0.14251782875769073,-1.665167914212549
13,0.365,0.273,-16.526,0.038,0.94,0.431,0.109,0.238,132.285,53.80896666666667,2.4482559331596674,0.24125372422052885
14,0.37,0.467,-9.013,0.0273,0.0205,0.572,0.109,0.182,94.485,58.65258333333333,1.25494070154005,-1.1340748629166264
15,0.362,0.569,-15.394,0.0345,0.876,0.91,0.327,0.746,148.692,61.543033333333334,-0.9273147315991948,-1.0715543973216592
16,0.447,0.449,-10.634,0.0376,0.934,0.961,0.0697,0.036,92.468,66.80015,-0.9264490773523698,-0.9976282825164832
17,0.701,0.341,-12.26,0.0418,0.499,0.903,0.359,0.163,105.513,69.32526666666666,0.4582697336999413,-0.9240472079794819
