,track.name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_number_inlist,minutestamp,original_playlist,PC0,PC1
13,The Way You Loved Me,0.532,0.328,11,-6.162,1,0.039,0.865,0.0,0.146,0.355,72.635,audio_features,1NBEcEUStjcu8hTju9rSUk,spotify:track:1NBEcEUStjcu8hTju9rSUk,https://api.spotify.com/v1/tracks/1NBEcEUStjcu8hTju9rSUk,https://api.spotify.com/v1/audio-analysis/1NBEcEUStjcu8hTju9rSUk,193256,4,14,52.77355,PCP_Marathon,1.454459124526871,1.394044581643528
14,Wrecking Ball,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,audio_features,2vwlzO0Qp8kfEtzTsCXfyE,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,https://api.spotify.com/v1/tracks/2vwlzO0Qp8kfEtzTsCXfyE,https://api.spotify.com/v1/audio-analysis/2vwlzO0Qp8kfEtzTsCXfyE,221360,4,15,56.46288333333333,PCP_Marathon,0.6142372819770646,-0.22621462498651845
15,Fingers Crossed,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414,audio_features,3yMC1KsTwh0ceXdIe4QQAQ,spotify:track:3yMC1KsTwh0ceXdIe4QQAQ,https://api.spotify.com/v1/tracks/3yMC1KsTwh0ceXdIe4QQAQ,https://api.spotify.com/v1/audio-analysis/3yMC1KsTwh0ceXdIe4QQAQ,175345,4,16,59.3853,PCP_Marathon,0.4773717635199973,1.1173952800786844
16,Only Love Can Hurt Like This,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,audio_features,62ke5zFUJN6RvtXZgVH0F8,spotify:track:62ke5zFUJN6RvtXZgVH0F8,https://api.spotify.com/v1/tracks/62ke5zFUJN6RvtXZgVH0F8,https://api.spotify.com/v1/audio-analysis/62ke5zFUJN6RvtXZgVH0F8,232893,4,17,63.26685,PCP_Marathon,-0.9893971832578603,0.7933111221119563
17,De Momento Abril,0.71,0.658,1,-8.31,1,0.0285,0.0358,0.00913,0.147,0.929,100.017,audio_features,1kjJLQhV2NDCWCf0ParWAJ,spotify:track:1kjJLQhV2NDCWCf0ParWAJ,https://api.spotify.com/v1/tracks/1kjJLQhV2NDCWCf0ParWAJ,https://api.spotify.com/v1/audio-analysis/1kjJLQhV2NDCWCf0ParWAJ,184480,3,18,66.34151666666666,PCP_Marathon,-1.0911499841819732,-0.05155137332287276
18,Whole Wide World - Unpeeled,0.405,0.751,5,-3.608,1,0.0392,0.377,0.0,0.0958,0.762,120.807,audio_features,5atlAt28h9xM5wxPspr5MU,spotify:track:5atlAt28h9xM5wxPspr5MU,https://api.spotify.com/v1/tracks/5atlAt28h9xM5wxPspr5MU,https://api.spotify.com/v1/audio-analysis/5atlAt28h9xM5wxPspr5MU,205707,4,19,69.76996666666666,PCP_Marathon,-0.5220919326249148,-0.4212833948456145
19,El amor después del amor,0.641,0.797,7,-6.536,1,0.0431,0.00357,3.25e-05,0.0279,0.655,94.884,audio_features,1PQzZbitOJ6XPFg7FFzsKQ,spotify:track:1PQzZbitOJ6XPFg7FFzsKQ,https://api.spotify.com/v1/tracks/1PQzZbitOJ6XPFg7FFzsKQ,https://api.spotify.com/v1/audio-analysis/1PQzZbitOJ6XPFg7FFzsKQ,311893,4,20,74.96818333333333,PCP_Marathon,-0.9558172600970964,-0.5484049187907678
20,Ámame Hasta Con Los Dientes,0.575,0.877,0,-4.946,1,0.0455,0.063,0.0,0.137,0.775,76.857,audio_features,5DUwHccvudaVW3Fq6pQIvm,spotify:track:5DUwHccvudaVW3Fq6pQIvm,https://api.spotify.com/v1/tracks/5DUwHccvudaVW3Fq6pQIvm,https://api.spotify.com/v1/audio-analysis/5DUwHccvudaVW3Fq6pQIvm,174600,4,21,77.87818333333334,PCP_Marathon,-1.2303101057862798,0.2029676195163304
21,Come On Eileen,0.45,0.656,2,-7.049,1,0.0472,0.664,3.02e-06,0.259,0.782,106.61,audio_features,3MrWxJaD2AT0W9DjWF64Vm,spotify:track:3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/tracks/3MrWxJaD2AT0W9DjWF64Vm,https://api.spotify.com/v1/audio-analysis/3MrWxJaD2AT0W9DjWF64Vm,287307,4,22,82.66663333333334,PCP_Marathon,0.08628210948732093,0.966280912694153
22,Ya Lo Veía Venir,0.492,0.76,2,-6.388,1,0.0312,0.0169,0.00087,0.201,0.642,166.018,audio_features,55TzaicixkSM6XT23JvIZA,spotify:track:55TzaicixkSM6XT23JvIZA,https://api.spotify.com/v1/tracks/55TzaicixkSM6XT23JvIZA,https://api.spotify.com/v1/audio-analysis/55TzaicixkSM6XT23JvIZA,224225,4,23,86.40371666666667,PCP_Marathon,-1.0125494659824863,-1.2981138613165117
